otu.id,R_M2,R_P2,R_A2,R_M3,R_P3,R_A3,R_M4,R_P4,R_A4,R_M1,R_P1,R_A1
FOtu0133,15,47,69,31,27,66,62,41,6,15,18,0
BOtu0096,15,2,0,0,0,3,17,13,318,1,13,0
FOtu0208,49,33,92,10,76,0,18,33,24,6,26,13
FOtu0212,61,0,0,0,0,0,0,0,2,0,8,309
FOtu0188,42,74,20,50,8,15,16,66,5,14,32,36
BOtu0066,0,48,126,156,2,2,14,13,8,7,0,0
FOtu0214,43,35,37,10,49,48,64,41,6,10,27,4
FOtu0215,66,2,13,10,86,17,42,40,34,10,33,20
BOtu0117,17,92,89,2,7,12,22,67,20,38,0,0
BOtu0110,0,208,12,62,13,0,5,33,28,2,0,0
FOtu0121,4,0,0,27,2,19,1,282,12,2,0,0
FOtu0227,26,133,13,0,0,6,0,15,0,147,3,5
AOtu0073,3,123,35,1,131,0,8,26,16,0,0,4
FOtu0011,37,1,3,43,20,58,1,17,6,0,120,40
BOtu0095,24,42,17,0,2,8,111,17,36,24,64,0
FOtu0231,119,69,0,35,21,32,3,1,27,0,22,12
FOtu0233,147,2,0,18,2,15,18,4,62,12,36,24
BOtu0109,0,107,36,19,9,0,30,0,135,2,0,0
AOtu0065,0,200,99,0,0,0,0,0,0,32,0,0
BOtu0120,4,92,83,11,0,0,13,21,35,25,8,36
FOtu0238,3,0,1,3,42,239,0,0,1,0,37,2
FOtu0234,13,50,12,0,22,63,5,30,3,23,32,71
FOtu0242,0,2,224,6,9,77,0,0,0,2,0,4
FOtu0247,0,2,318,0,0,0,0,0,0,0,0,0
FOtu0224,38,68,30,7,42,24,19,21,13,32,18,7
FOtu0207,128,38,16,0,1,22,9,3,9,19,69,4
FOtu0183,2,14,154,0,0,0,0,0,0,6,72,67
BOtu0086,4,82,36,0,0,2,62,2,107,16,3,0
FOtu0191,0,14,11,50,130,35,29,28,6,7,0,1
BOtu0081,13,163,18,8,5,5,33,40,11,6,8,0
BOtu0105,4,5,16,5,5,2,31,4,14,6,162,33
FOtu0258,23,115,91,0,0,15,2,2,2,21,7,3
BOtu0142,3,26,46,9,15,2,35,68,0,53,14,3
FOtu0256,2,19,4,0,0,0,0,0,0,246,1,1
BOtu0022,22,109,38,0,10,12,10,6,56,7,2,0
FOtu0240,16,39,25,86,1,4,18,37,2,5,27,10
AOtu0082,17,0,0,0,0,0,16,14,0,0,19,204
FOtu0262,1,11,27,4,20,9,10,5,15,166,1,1
FOtu0050,5,0,0,3,63,29,0,0,0,0,158,11
FOtu0156,134,2,0,18,20,10,14,7,1,3,36,20
FOtu0180,35,1,9,7,16,45,1,12,4,2,60,68
FOtu0268,116,5,1,0,39,0,0,13,3,21,42,19
FOtu0269,2,53,138,0,3,2,6,7,2,36,3,6
FOtu0039,4,0,0,6,0,9,21,157,54,0,3,1
BOtu0145,14,128,41,2,5,5,12,7,32,5,3,0
BOtu0147,52,67,48,2,2,2,6,24,11,39,1,0
FOtu0276,0,5,0,24,24,4,121,60,10,0,0,0
FOtu0264,15,61,45,10,3,5,22,6,0,57,4,19
FOtu0270,6,82,22,6,2,13,31,9,21,39,16,0
FOtu0252,31,57,83,0,6,0,4,21,6,32,6,0
BOtu0106,64,42,47,6,8,0,11,25,20,3,18,0
FOtu0266,44,8,3,14,53,29,11,18,15,15,16,18
FOtu0024,0,15,126,0,0,0,0,5,0,91,2,0
FOtu0285,19,33,49,8,9,10,18,37,7,21,12,13
FOtu0213,59,5,1,2,5,18,6,12,35,21,52,18
BOtu0149,16,40,92,19,3,7,31,9,0,9,6,0
BOtu0099,32,18,44,5,42,0,0,6,12,45,24,0
FOtu0286,1,16,48,2,0,0,41,79,35,4,0,0
BOtu0146,34,47,44,1,2,2,12,26,44,8,3,0
FOtu0277,2,25,23,19,17,3,60,49,22,2,1,0
FOtu0287,26,52,14,3,22,9,29,0,3,16,2,45
FOtu0274,62,0,0,0,0,0,0,0,0,0,112,46
BOtu0010,37,1,0,16,7,48,7,3,85,3,3,0
BOtu0156,6,43,30,1,2,4,11,10,17,79,3,0
AOtu0092,0,0,201,0,0,0,0,0,0,0,0,0
FOtu0048,0,0,0,0,0,1,0,198,1,0,0,0
FOtu0306,38,1,16,60,0,3,14,49,2,3,6,7
FOtu0307,0,146,3,0,0,0,2,0,0,46,0,0
FOtu0308,24,9,5,24,3,3,18,30,38,7,16,18
FOtu0223,0,9,3,3,99,2,69,5,0,2,2,0
FOtu0312,0,20,123,3,2,3,0,0,2,25,14,0
AOtu0093,122,8,2,1,19,4,14,6,3,7,4,1
BOtu0170,66,63,22,2,0,0,12,18,6,2,0,0
FOtu0313,10,49,56,5,10,11,2,10,2,27,8,0
FOtu0236,9,33,18,0,42,5,19,6,7,45,4,1
BOtu0154,4,54,6,1,4,3,2,88,11,14,2,0
AOtu0089,103,5,12,2,1,4,1,34,2,0,9,16
BOtu0138,12,0,10,0,8,2,14,23,85,26,0,0
FOtu0273,2,12,11,9,74,5,27,18,10,1,5,6
FOtu0328,5,120,5,0,12,5,6,9,3,7,6,1
AOtu0091,2,0,175,0,0,0,0,0,0,0,0,1
BOtu0174,9,60,85,1,0,0,2,1,15,5,0,0
BOtu0164,0,56,34,0,2,2,0,8,34,35,4,0
FOtu0332,0,11,16,18,4,1,52,51,19,1,2,0
BOtu0144,11,19,9,16,28,4,9,24,5,36,13,0
FOtu0333,5,0,151,14,1,2,0,0,0,0,0,0
FOtu0248,0,10,43,0,6,84,0,9,11,5,2,0
BOtu0127,16,24,24,9,14,3,13,22,4,21,17,1
FOtu0335,35,53,22,8,3,21,3,1,5,3,3,11
FOtu0334,22,1,0,17,37,21,18,8,8,6,14,15
FOtu0225,27,12,13,8,12,27,3,7,34,11,9,3
BOtu0053,6,0,3,1,0,3,39,0,1,3,68,41
FOtu0343,0,36,49,0,17,0,5,1,3,5,49,0
BOtu0071,13,4,6,0,0,2,13,7,88,1,29,0
FOtu0284,0,9,19,0,20,0,16,9,1,87,0,0
AOtu0086,0,0,0,0,0,0,0,147,13,1,0,0
FOtu0349,26,26,14,6,9,3,14,8,4,12,18,21
BOtu0177,0,20,59,11,28,2,0,25,3,6,6,0
FOtu0316,10,12,66,2,3,17,5,2,8,24,5,1
AOtu0102,1,1,112,0,7,11,1,7,13,2,0,0
FOtu0184,43,0,0,0,0,1,0,1,0,0,36,71
BOtu0180,14,43,42,0,1,2,13,27,0,10,0,0
FOtu0199,134,0,0,0,7,0,0,3,4,0,3,0
BOtu0158,0,13,10,33,20,4,0,8,2,49,11,0
BOtu0179,20,9,0,1,25,2,0,2,88,3,0,0
BOtu0188,0,86,27,5,0,0,10,15,0,6,0,0
BOtu0027,3,41,49,0,3,6,3,6,14,16,3,0
FOtu0178,0,19,14,11,7,5,16,58,7,3,2,1
FOtu0372,0,123,11,0,2,0,0,0,0,3,4,0
