otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
FOtu0067,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Phaeomycocentrospora,Phaeomycocentrospora
FOtu0069,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria
FOtu0070,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula
FOtu0071,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0072,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Perusta,Perusta
FOtu0073,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Perusta,Perusta
FOtu0074,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanorales_unclassified,Lecanorales_unclassified,Lecanorales_unclassified
FOtu0075,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0076,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unclassified,Helotiales_unclassified,Helotiales_unclassified
FOtu0077,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium
FOtu0078,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiales_unclassified,Leucosporidiales_unclassified,Leucosporidiales_unclassified
FOtu0079,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_unclassified,Chaetothyriales_unclassified,Chaetothyriales_unclassified
FOtu0084,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0087,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_unclassified,Capnodiales_unclassified,Capnodiales_unclassified
FOtu0088,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unclassified_Herpotrichiellaceae,unclassified_Herpotrichiellaceae
FOtu0089,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unclassified_Capnodiales,unclassified_Capnodiales,unclassified_Capnodiales
FOtu0091,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,unclassified_Sporormiaceae,unclassified_Sporormiaceae
FOtu0092,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0093,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0095,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Sarcinomyces,Sarcinomyces
FOtu0097,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago
FOtu0098,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Perusta,Perusta
FOtu0100,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified
FOtu0101,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_fam_Incertae_sedis,Arthrocatena,Arthrocatena
FOtu0102,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,unclassified_Dothioraceae,unclassified_Dothioraceae
FOtu0103,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified
FOtu0104,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiales_unclassified,Leucosporidiales_unclassified,Leucosporidiales_unclassified
FOtu0106,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0110,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,Lophodermium
FOtu0111,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0114,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unclassified,Dothideomycetes_unclassified,Dothideomycetes_unclassified,Dothideomycetes_unclassified
