OTU,family,genus,species
F.Otu0955,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1071,Sporidiobolaceae,Rhodotorula,Rhodotorula
F.Otu1091,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1198,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu1170,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1173,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1190,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1159,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1183,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1185,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1191,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1156,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1171,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0234,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0149,Bacillaceae,Bacillaceae_unclassified,Bacillaceae_unclassified
B.Otu0222,Parachlamydiaceae,Parachlamydiaceae_unclassified,Parachlamydiaceae_unclassified
F.Otu0381,Teratosphaeriaceae,Friedmanniomyces,Friedmanniomyces
B.Otu0298,Geodermatophilaceae,Modestobacter,Modestobacter
F.Otu0560,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0318,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu1154,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1128,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1199,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1229,Leucosporidiaceae,Leucosporidium,Leucosporidium
F.Otu1239,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1226,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1224,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1225,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1228,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1235,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1245,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0117,Hymenobacteraceae,Hymenobacter,Hymenobacter
F.Otu0405,Cladosporiaceae,Rachicladosporium,Rachicladosporium
F.Otu0836,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1072,Dothioraceae,Hormonema,Hormonema
B.Otu0715,Microbacteriaceae,Microbacteriaceae_unclassified,Microbacteriaceae_unclassified
B.Otu0719,Sphingobacteriaceae,Solitalea,Solitalea
F.Otu1257,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1298,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1283,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0021,Burkholderiaceae,Rhodoferax,Rhodoferax
F.Otu0433,Lecanorales_unclassified,Lecanorales,Lecanorales_unclassified
F.Otu0519,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0538,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0906,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0702,Burkholderiaceae,Rhizobacter,Rhizobacter
A.Otu0296,Chlamydomonadaceae,Chloromonas,Chloromonas_nivalis_subsp_tatrae
F.Otu1313,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1362,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0357,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0420,Burkholderiaceae,Variovorax,Variovorax
F.Otu0891,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0803,Nakamurellaceae,Nakamurella,Nakamurella
F.Otu1405,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
F.Otu1377,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0162,Leptosphaeriaceae,Leptosphaeriaceae,Leptosphaeriaceae_unclassified
F.Otu0195,Dothideomycetes_unclassified,Dothideomycetes,Dothideomycetes_unclassified
B.Otu0188,Acetobacteraceae,Acidiphilium,Acidiphilium
F.Otu0813,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0477,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0657,uncultured,uncultured_ge,uncultured_ge
F.Otu1161,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0734,Burkholderiaceae,Actimicrobium,Actimicrobium
F.Otu1381,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0071,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0270,Dothideales_unclassified,Dothideales,Dothideales_unclassified
B.Otu0302,Chlamydiales_unclassified,Chlamydiales_unclassified,Chlamydiales_unclassified
B.Otu0568,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
B.Otu0661,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu1419,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0079,Acetobacteraceae,Acetobacteraceae_unclassified,Acetobacteraceae_unclassified
F.Otu0441,Dothideomycetes_unclassified,Dothideomycetes,Dothideomycetes_unclassified
B.Otu0294,Chitinophagaceae,uncultured,uncultured
F.Otu0961,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1045,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0704,Burkholderiaceae,Actimicrobium,Actimicrobium
F.Otu1361,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0884,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0192,unclassified_Dothideales,unclassified,unclassified_Dothideales
F.Otu0464,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0483,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0291,uncultured,uncultured_ge,uncultured_ge
F.Otu0627,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0430,Microbacteriaceae,Salinibacterium,Salinibacterium
B.Otu0456,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0525,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0948,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1055,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0858,Hymenobacteraceae,Hymenobacter,Hymenobacter
F.Otu0115,Teratosphaeriaceae,Lapidomyces,Lapidomyces
F.Otu0196,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0527,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified
F.Otu0946,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0651,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu1061,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1104,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu1164,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0098,Dothioraceae,Perusta,Perusta
F.Otu0128,Cantharellales_fam_Incertae_sedis,Sistotrema,Sistotrema
F.Otu0238,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0093,Trebouxiaceae,Trebouxia,Trebouxia_sp
F.Otu0334,Pleosporales_unclassified,Pleosporales,Pleosporales_unclassified
F.Otu0738,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0630,Micrococcales_unclassified,Micrococcales_unclassified,Micrococcales_unclassified
F.Otu1135,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1179,Sporidiobolaceae,Rhodotorula,Rhodotorula
F.Otu1309,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0023,Rhizocarpaceae,Rhizocarpon,Rhizocarpon
F.Otu0208,Phaeosphaeriaceae,Dematiopleospora,Dematiopleospora
F.Otu0258,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0145,Propionibacteriaceae,Friedmanniella,Friedmanniella
B.Otu0214,Micromonosporaceae,Actinoplanes,Actinoplanes
B.Otu0232,Acetobacteraceae,uncultured,uncultured
F.Otu0931,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0272,Chlamydomonadales_incertae_sedis,Tetracystis,Tetracystis_excentrica
B.Otu0878,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0087,Capnodiales_unclassified,Capnodiales,Capnodiales_unclassified
F.Otu0120,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0142,Microbacteriaceae,Marisediminicola,Marisediminicola
F.Otu0287,Pleosporaceae,Comoclathris,Comoclathris
F.Otu0335,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0466,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0744,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0851,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0659,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
A.Otu0025,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_callunae
F.Otu0126,Cladosporiaceae,Rachicladosporium,Rachicladosporium
B.Otu0100,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia
A.Otu0082,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
F.Otu0286,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0501,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0321,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora
F.Otu0917,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0935,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0243,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
F.Otu1412,Pleosporaceae,Comoclathris,Comoclathris
F.Otu0040,Saccharomycetaceae,Nakaseomyces,Nakaseomyces
F.Otu0095,Chaetothyriales_fam_Incertae_sedis,Sarcinomyces,Sarcinomyces
F.Otu0111,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0130,Pleosporales_unclassified,Pleosporales,Pleosporales_unclassified
F.Otu0139,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0173,Lecanoromycetes_unclassified,Lecanoromycetes,Lecanoromycetes_unclassified
F.Otu0190,unclassified_Pleosporales,unclassified,unclassified_Pleosporales
F.Otu0262,Umbilicariaceae,Umbilicaria,Umbilicaria
B.Otu0170,Burkholderiaceae,Massilia,Massilia
B.Otu0219,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter
F.Otu0444,Dothideaceae,Dothideaceae,Dothideaceae_unclassified
F.Otu0458,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0460,Lecanorales_unclassified,Lecanorales,Lecanorales_unclassified
F.Otu0524,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
A.Otu0165,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
F.Otu0631,Pleosporales_unclassified,Pleosporales,Pleosporales_unclassified
F.Otu0642,Pleosporaceae,Comoclathris,Comoclathris
A.Otu0193,Chlamydomonadales_incertae_sedis,Tetracystis,Tetracystis_excentrica
B.Otu0455,Hymenobacteraceae,Hymenobacter,Hymenobacter
B.Otu0578,Chitinophagaceae,Chitinophagaceae_unclassified,Chitinophagaceae_unclassified
F.Otu1284,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0810,Hymenobacteraceae,Hymenobacter,Hymenobacter
F.Otu0089,unclassified_Capnodiales,unclassified,unclassified_Capnodiales
A.Otu0047,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
F.Otu0152,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0269,Myriangiales_fam_Incertae_sedis,Endosporium,Endosporium
F.Otu0276,Eurotiomycetes_unclassified,Eurotiomycetes,Eurotiomycetes_unclassified
F.Otu0328,Tremellaceae,Cryptococcus,Cryptococcus
F.Otu0349,Sporormiaceae,Preussia,Preussia
F.Otu0400,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces
F.Otu0434,Mycosphaerellaceae,unclassified,unclassified_Mycosphaerellaceae
F.Otu0463,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0279,Hymenobacteraceae,Hymenobacter,Hymenobacter
F.Otu0535,Phaeosphaeriaceae,Chaetosphaeronema,Chaetosphaeronema
F.Otu0601,Lycoperdaceae,Bovista,Bovista
F.Otu0618,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0796,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu1083,Chaetothyriales_fam_Incertae_sedis,Sarcinomyces,Sarcinomyces
F.Otu1338,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu1344,Teratosphaeriaceae,Oleoguttula,Oleoguttula
