"","taxon_id","treatment_1","treatment_2","log2_median_ratio","median_diff","mean_diff","wilcox_p_value"
"218","ik","A","B",Inf,3.21960611338809e-06,-7.82441866807534e-06,0.655306389505138
"219","il","A","B",0.437476258229135,1.00842530655267e-05,-7.92876958279167e-06,0.937229437229437
"220","im","A","B",0,0,-1.72497168076002e-05,0.775029260163904
"221","in","A","B",-1.34554923875515,-3.48398937419438e-05,-1.53386588539115e-05,0.24025974025974
"222","io","A","B",0.357668761870013,4.62745747641473e-05,8.00189709845352e-05,0.393939393939394
"223","ip","A","B",0,0,-0.000117542392684499,0.404656761927286
"224","iq","A","B",0,0,0,NA
"225","ir","A","B",0.854745575107017,9.41221215865297e-05,0.000109639842906761,0.588744588744589
"226","is","A","B",0,0,0,NA
"227","it","A","B",-0.891395562303246,-5.48772456178535e-05,-2.42502780881411e-05,0.818181818181818
"228","iu","A","B",0,0,-5.6243972707486e-06,0.924102310456697
"229","iv","A","B",-0.701495335573932,-7.80366493526059e-06,6.65300707190835e-06,0.699134199134199
"230","iw","A","B",2.32509547789889,4.77328722313061e-05,-8.04284450051867e-05,0.686838218866274
"231","ix","A","B",0,0,3.65007804137388e-06,0.775029260163904
"232","iy","A","B",0,0,-4.10310722392476e-07,0.752553750197242
"233","iz","A","B",0,0,0,NA
"234","ja","A","B",2.54322824857686,1.07177354435276e-05,3.86779192202144e-05,0.192224811362398
"235","jb","A","B",1.53875637721147,3.18791019440284e-06,0.000704836400898518,0.561148653797487
"236","jc","A","B",-0.129524088212434,-2.33975390000155e-05,9.55065900305237e-06,0.937229437229437
"237","jd","A","B",0,0,0,NA
"238","je","A","B",Inf,4.82940917008213e-06,-8.48112500060376e-06,0.655306389505138
"239","jf","A","B",0,0,1.33955092306537e-06,1
"240","jg","A","B",-Inf,-3.4217630976537e-06,-8.57472071745876e-06,0.32605752154511
"241","jh","A","B",-1.72000161684333,-5.19011849323562e-05,-5.06035338083239e-05,0.132034632034632
"242","ji","A","B",-Inf,-1.71088154882685e-06,1.14749515623713e-06,1
"243","jj","A","B",1.68863145704118,7.60831680455225e-06,-6.61362580571367e-06,0.624834867127387
"244","jk","A","B",Inf,9.65234318591422e-06,6.87389958640239e-06,0.441788161749779
"245","jl","A","B",-Inf,-1.71313840102514e-06,0.0001329423451012,0.655306389505138
"246","jm","A","B",0.205588053813698,2.79805844765832e-05,4.83718786461252e-05,0.699134199134199
"247","jn","A","B",0.10573420224046,4.54696232905085e-06,9.01556600762987e-05,0.588744588744589
"248","jo","A","B",0,0,0.000448225697926764,1
"249","jp","A","B",0,0,0,NA
"250","jq","A","B",0,0,0,NA
"251","jr","A","B",0,0,0,NA
"252","js","A","B",0.598530564935853,6.22820924324066e-06,-1.08516873696597e-05,1
"253","jt","A","B",0,0,0,NA
"254","ju","A","B",0,0,3.25338133236622e-06,1
"255","jv","A","B",-0.209349246073615,-2.2598445299885e-07,9.81750106129067e-07,0.86428018137428
"256","jw","A","B",0,0,-2.2522236924001e-06,0.599265961982854
"257","jx","A","B",0,0,0.000232307028942123,0.752553750197242
"258","jy","A","B",0,0,0,NA
"259","jz","A","B",Inf,1.13676144811041e-05,4.75882735460599e-05,0.347163505300326
"260","ka","A","B",0.999267658703135,1.97430563249534e-05,1.54380626310007e-05,0.521109982958906
"261","kb","A","B",-1.08880690771766,-1.81421689315795e-06,-6.27755300972405e-06,0.454957853512115
"262","kc","A","B",Inf,1.10159736098512e-05,2.95224596584375e-05,0.347163505300326
"263","kd","A","B",0,0,-6.18915337157795e-07,0.775029260163904
"264","ke","A","B",0.637782397928493,1.33065860754314e-05,2.18846724332389e-06,0.686838218866274
"265","kf","A","B",0,0,0,NA
"266","kg","A","B",-Inf,-2.36462520690471e-06,8.56257086450114e-06,0.928858960600444
"267","kh","A","B",0.158605972324501,0.0290958147434444,-0.0232958879159629,0.818181818181818
"268","ki","A","B",0.638752798481052,0.000740983095343823,-0.00650442952660415,0.937229437229437
"269","kj","A","B",2.3819165724865,0.000563537186654414,-0.00233952823520045,0.521109982958906
"270","kk","A","B",1.11691378510838,0.000277521800686554,0.00183735916440488,0.630355526361864
"271","kl","A","B",-0.290564050732795,-4.72230609860285e-05,0.000511649849275582,0.935043046278691
"272","km","A","B",0,0,0,NA
"273","kn","A","B",0.434729889602962,1.72592930645051e-05,2.85095193885701e-05,0.588744588744589
"274","ko","A","B",1.54246533588606,0.000448259443507174,0.000236629124096271,0.937229437229437
"275","kp","A","B",-Inf,-1.71088154882685e-06,-5.27146344811571e-06,0.0740099699862347
"276","kq","A","B",-0.857615409970484,-1.45785709463951e-05,-9.8103587879639e-05,0.572475573921105
"277","kr","A","B",0,0,0,NA
"278","ks","A","B",0.574199405751951,4.10304874856382e-05,2.64391631345551e-05,0.686838218866274
"279","kt","A","B",0,0,-1.16810693154733e-06,0.752553750197242
"280","ku","A","B",-0.264611517140409,-0.0181981369115381,-0.021374294465282,0.484848484848485
"281","kv","A","B",-0.67882323333001,-0.0343162371856211,-0.0259524346176453,0.24025974025974
"282","kw","A","B",-0.0171003594300909,-0.000494709478317298,0.00442340445364178,0.699134199134199
"283","kx","A","B",-0.586609007812859,-0.0157260654073371,0.00116798288544735,0.937229437229437
"284","ky","A","B",1.15816006210068,0.0084035841375567,0.00394891861961774,0.393939393939394
"285","kz","A","B",-0.297273532334782,-0.00394130748403263,-0.00320857068266931,0.393939393939394
"286","la","A","B",-0.172263301797986,-0.000913437523541486,-0.000175613525030762,0.818181818181818
"287","lb","A","B",1.73861142933853,0.00167848735455511,0.00211263061233648,0.393939393939394
"288","lc","A","B",1.40526629885345,0.00991111738552218,0.00675732177140726,0.699134199134199
"289","ld","A","B",0.792813174309548,0.0028534415424545,0.0018260983396471,0.30952380952381
"290","le","A","B",-0.214525310735493,-0.000934403562535296,-0.00149777388913542,0.484848484848485
"291","lf","A","B",0.712986760068043,1.41841264214169e-05,3.35591222874855e-05,0.574503810234666
"292","lg","A","B",-0.0503612774114194,-3.85207119379468e-05,0.000209804555748119,0.818181818181818
"293","lh","A","B",-0.0366935091680429,-2.75617234656634e-05,9.96939688020807e-05,0.818181818181818
"294","li","A","B",-0.114255777020364,-0.000267027853024209,-0.00031909643012666,0.699134199134199
"295","lj","A","B",-1.22008989068101,-0.00069534249141599,-0.00543532332099527,0.937229437229437
"296","lk","A","B",1.17239104530862,0.003130692518572,0.00243313698519943,0.30952380952381
"297","ll","A","B",0.705922064234058,0.000970134630430227,0.000457442991654926,0.699134199134199
"298","lm","A","B",0.986836618665221,0.00202825469642002,0.000812110345013354,0.937229437229437
"299","ln","A","B",0.597628571791036,0.00120977755950542,0.000646038596294081,0.588744588744589
"300","lo","A","B",1.00272334734535,0.00132678008245611,-6.64023088781385e-05,0.393939393939394
"301","lp","A","B",0.729740354319039,0.000814894383491652,-0.000988285191687388,0.818181818181818
"302","lq","A","B",0.160436597531637,2.55720326492715e-05,9.71359530251985e-05,0.937229437229437
"303","lr","A","B",1.26313740233934,0.000934621791900624,0.00181746557172955,0.588744588744589
"304","ls","A","B",0.172387093719163,4.19512752395797e-05,0.000300215715169237,1
"305","lt","A","B",0.0503690474687697,5.79207480049725e-07,-7.73921923777317e-05,0.872559030892382
"306","lu","A","B",0.778263940785676,0.000204032413766279,0.000198295505430194,0.484848484848485
"307","lv","A","B",-0.463204593698552,-1.76689815544164e-05,1.2500575334387e-05,0.484848484848485
"308","lw","A","B",-0.739869204669354,-1.08764389780019e-05,9.4065900929006e-05,0.935736280642756
"309","lx","A","B",-Inf,-2.21948978368853e-06,1.461963320639e-05,0.788821236902539
"310","ly","A","B",1.03814943024143,0.000156555125161499,0.000649363216579519,0.699134199134199
"311","lz","A","B",-0.435362737982212,-9.35067498445594e-06,-4.79532146610477e-05,1
"312","ma","A","B",1.27096702181969,6.22112795456299e-05,7.46224972325904e-05,0.228950681414595
"313","mb","A","B",0,0,1.39004390930146e-05,1
"314","mc","A","B",1.13875554392287,1.61841194829958e-05,2.16012427929778e-05,0.470393004438648
"315","md","A","B",0.841154492411218,1.22968217094524e-05,6.55144853344707e-05,0.678070679487631
"316","me","A","B",1.87392077884351,2.03755961744212e-05,5.56364888265555e-05,0.422527407168231
"317","mf","A","B",0,0,0,NA
"318","mg","A","B",1.47223964986373,1.5437008754723e-05,0.000181349414678969,0.484848484848485
"319","mh","A","B",0.158171441517042,6.30677388684038e-06,-4.20864815430273e-05,0.572475573921105
"320","mi","A","B",-2.07566141157074,-6.72548928928451e-05,0.000184636884774801,0.393939393939394
"321","mj","A","B",-Inf,-1.6730577472612e-06,5.48709980404579e-06,0.788821236902539
"322","mk","A","B",0,0,0.000152666123319256,0.175734335644225
"323","ml","A","B",0,0,3.58285414086518e-05,0.461950454587791
"324","mm","A","B",1.11204110197121,9.85604899070236e-06,-2.56232904239373e-05,0.935736280642756
